671021.157	3529724.675	4.659
671021.035	3529724.662	4.659
671020.921	3529724.656	4.659
671020.782	3529724.645	4.658
671020.628	3529724.631	4.658
671020.470	3529724.619	4.658
671020.309	3529724.608	4.658
671020.182	3529724.599	4.657
671020.048	3529724.586	4.657
671019.946	3529724.579	4.657
671019.835	3529724.575	4.657
671019.713	3529724.570	4.656
671019.578	3529724.565	4.656
671019.432	3529724.558	4.656
671019.279	3529724.549	4.656
671019.121	3529724.540	4.656
671018.949	3529724.531	4.655
671018.777	3529724.521	4.655
671018.602	3529724.509	4.655
671018.421	3529724.497	4.655
671018.237	3529724.485	4.654
671018.051	3529724.472	4.654
671017.862	3529724.457	4.654
671017.670	3529724.444	4.653
671017.479	3529724.432	4.653
671017.286	3529724.419	4.653
671017.093	3529724.403	4.653
671016.896	3529724.391	4.652
671016.700	3529724.378	4.652
671016.504	3529724.366	4.652
671016.403	3529724.359	4.651
671016.204	3529724.345	4.651
671016.006	3529724.335	4.651
671015.905	3529724.330	4.651
671015.803	3529724.324	4.650
671015.602	3529724.308	4.650
671015.402	3529724.295	4.650
671015.299	3529724.288	4.650
671015.197	3529724.282	4.649
671015.092	3529724.274	4.649
671014.989	3529724.268	4.649
671014.885	3529724.261	4.649
671014.779	3529724.253	4.649
671014.676	3529724.246	4.649
671014.571	3529724.239	4.648
671014.465	3529724.231	4.648
671014.360	3529724.222	4.648
671014.252	3529724.213	4.648
671014.145	3529724.205	4.648
671014.038	3529724.196	4.648
671013.931	3529724.188	4.648
671013.827	3529724.180	4.648
671013.720	3529724.172	4.648
671013.611	3529724.163	4.647
671013.504	3529724.157	4.647
671013.393	3529724.150	4.647
671013.282	3529724.143	4.647
671013.172	3529724.137	4.647
671013.061	3529724.128	4.647
671012.950	3529724.120	4.646
671012.838	3529724.113	4.646
671012.723	3529724.101	4.646
671012.610	3529724.092	4.645
671012.494	3529724.083	4.644
671012.379	3529724.073	4.641
671012.263	3529724.062	4.639
671012.147	3529724.052	4.637
671012.029	3529724.041	4.634
671011.912	3529724.030	4.632
671011.794	3529724.020	4.630
671011.677	3529724.008	4.627
671011.561	3529723.995	4.624
671011.446	3529723.983	4.622
671011.327	3529723.964	4.620
671011.210	3529723.949	4.617
671011.091	3529723.933	4.615
671010.976	3529723.918	4.613
671010.859	3529723.903	4.615
671010.742	3529723.885	4.618
671010.629	3529723.869	4.622
671010.514	3529723.859	4.628
671010.401	3529723.848	4.635
671010.287	3529723.844	4.642
671010.173	3529723.842	4.649
671010.059	3529723.837	4.656
671009.945	3529723.844	4.661
671009.832	3529723.847	4.665
671009.718	3529723.853	4.668
671009.603	3529723.851	4.671
671009.491	3529723.867	4.673
671009.377	3529723.874	4.675
671009.264	3529723.880	4.677
671009.150	3529723.883	4.678
671009.035	3529723.889	4.678
671008.920	3529723.892	4.675
671008.804	3529723.891	4.672
671008.688	3529723.890	4.668
671008.571	3529723.886	4.663
671008.456	3529723.872	4.659
671008.342	3529723.860	4.655
671008.225	3529723.854	4.651
671008.110	3529723.833	4.648
671007.994	3529723.818	4.646
671007.876	3529723.802	4.644
671007.756	3529723.792	4.642
671007.638	3529723.768	4.641
671007.515	3529723.753	4.640
671007.393	3529723.739	4.640
671007.270	3529723.729	4.643
671007.144	3529723.712	4.646
671007.015	3529723.700	4.649
671006.885	3529723.691	4.652
671006.756	3529723.681	4.654
671006.625	3529723.681	4.657
671006.492	3529723.677	4.660
671006.360	3529723.675	4.663
671006.229	3529723.669	4.665
671006.092	3529723.668	4.667
671005.959	3529723.671	4.669
671005.821	3529723.669	4.671
671005.685	3529723.666	4.673
671005.549	3529723.664	4.674
671005.410	3529723.665	4.675
671005.273	3529723.663	4.676
671005.135	3529723.661	4.677
671004.997	3529723.662	4.677
671004.858	3529723.661	4.676
671004.717	3529723.660	4.674
671004.577	3529723.656	4.672
671004.437	3529723.652	4.670
671004.296	3529723.644	4.668
671004.155	3529723.638	4.666
671004.015	3529723.632	4.663
671003.874	3529723.621	4.660
671003.734	3529723.610	4.658
671003.593	3529723.599	4.655
671003.453	3529723.590	4.653
671003.312	3529723.579	4.651
671003.170	3529723.561	4.649
671003.033	3529723.546	4.648
671002.893	3529723.535	4.647
671002.755	3529723.516	4.646
671002.617	3529723.502	4.645
671002.478	3529723.489	4.644
671002.340	3529723.477	4.643
671002.202	3529723.465	4.642
671002.063	3529723.453	4.642
671001.927	3529723.442	4.642
671001.790	3529723.430	4.642
671001.650	3529723.421	4.641
671001.512	3529723.409	4.641
671001.372	3529723.399	4.641
671001.234	3529723.388	4.640
671001.095	3529723.376	4.640
671000.960	3529723.366	4.640
671000.823	3529723.356	4.640
671000.687	3529723.345	4.640
671000.550	3529723.336	4.639
671000.409	3529723.327	4.639
671000.275	3529723.315	4.639
671000.139	3529723.305	4.639
670999.999	3529723.293	4.639
670999.866	3529723.283	4.639
670999.728	3529723.273	4.638
670999.592	3529723.262	4.638
670999.459	3529723.254	4.638
670999.322	3529723.244	4.638
670999.190	3529723.233	4.637
670999.055	3529723.222	4.637
670998.919	3529723.210	4.637
670998.788	3529723.200	4.637
670998.652	3529723.190	4.637
670998.517	3529723.181	4.636
670998.384	3529723.172	4.636
670998.249	3529723.163	4.636
670998.116	3529723.155	4.635
670997.983	3529723.146	4.635
670997.848	3529723.138	4.635
670997.713	3529723.123	4.635
670997.577	3529723.114	4.635
670997.443	3529723.104	4.635
670997.306	3529723.094	4.635
670997.171	3529723.084	4.635
670997.036	3529723.073	4.635
670996.903	3529723.063	4.634
670996.767	3529723.052	4.634
