15.38,14.61,14.14,13.12,14.91,12.54,14.69,15.18,15.2,14.69,15.02,14.92,15.09,13.46,15.16,15.19
2.08,1.911,1.827,1.783,2.055,1.72,1.93,2.123,2.128,1.931,1.998,1.984,2.016,1.783,2.124,2.109
1,1,1.056,1.034,1,1.374,1,1,1,1,1,1,1,1,1,1
18.19,6.691,8.263,5.845,11.3,4.766,15.48,10.61,5.953,7.726,10.29,14.02,11.3,6.079,12.36,6.674
0.07504,0.08828,0.09984,0.08645,0.1075,0.06912,0.07834,0.07304,0.09667,0.09082,0.1038,0.06491,0.1196,0.08369,0.08745,0.08654
-0.417,-1.19,-1.464,-1.514,-1.297,-0.7171,-0.8567,-0.4118,-1.182,-0.901,-1.149,-0.5661,-1.397,-1.042,-0.8699,-1.092
11.5,11.61,15.12,13.75,14.41,7.28,13.12,7.55,11.69,10.01,13.35,10.23,15.76,11.08,12.25,10.71
